Detector_Number,x,y,z,Total_Energy_Deposited,Energy_Per_Particle,Energy_Squared_Sum,Quadric_Energy_Per_Particle,sigma,n_total,m_sigma,Ix,Iy,Iz
62,-7.2,3.2,-1.5,30596613.82299999,0.005539352552367157,7476463224776.0,186982.32937450008,1.7487936349,5523500000.0,0.0014850975860843422,2,15,0
63,-7.2,4.0,-1.5,32734085.729999997,0.006197289990533888,8682123515890.0,213784.51175089987,1.856492772000001,5282000000.0,0.001673538981558692,2,16,0
64,-7.2,4.8,-1.5,24645765.383,0.004824934491581833,6127635041672.0,153487.9969394,1.4650419627000004,5108000000.0,0.0014538406490012454,2,17,0
65,-7.2,5.6,-1.5,22072534.739999995,0.004369501086805898,5309913307048.0,126841.44020644999,1.336696069,5051500000.0,0.0013684993918172564,2,18,0
66,-7.2,6.4,-1.5,17116180.824,0.003500957419513193,4123257415021.7,87062.11046284004,1.0118072890999996,4889000000.0,0.0012460097441120937,2,19,0
67,-7.2,7.2,-1.5,12835982.187000003,0.003007493483364574,3012617917935.2,73976.76159562996,0.7801040664999999,4268000000.0,0.0012200253891269397,2,20,0
68,-7.2,8.0,-1.5,9131930.814999998,0.0023833826999869498,1484861640154.7,36295.26107109998,0.5880047071999999,3831500000.0,0.000954103338674288,2,21,0
69,-7.2,8.8,-1.5,11073736.018000001,0.002949064185885486,2876338056711.0,72690.97034981998,0.7530902002999997,3755000000.0,0.0013549749760206622,2,22,0
70,-6.4,-8.8,-1.5,10973672.118999997,0.0025708497408925847,2216019013187.0,47451.31296588001,0.6910460290000003,4268500000.0,0.0010462433421215035,3,0,0
71,-6.4,-8.0,-1.5,12666911.985,0.0028996021483346686,3026299245296.6,75797.63832620802,0.8168465243000004,4368500000.0,0.0011946614415936443,3,1,0
72,-6.4,-7.2,-1.5,13924533.230999995,0.003008758260803802,2879125443726.7,80678.44758328996,0.9157410676999997,4628000000.0,0.001099912645413746,3,2,0
73,-6.4,-6.4,-1.5,19365832.763,0.004061200118066478,5509026764345.0,141251.36914810003,1.2329735842,4768500000.0,0.0014766477425528061,3,3,0
74,-6.4,-5.6,-1.5,20572362.296000004,0.004293959986641621,4277495717279.0,101410.30861307001,1.1835023624000003,4791000000.0,0.001295059944439833,3,4,0
75,-6.4,-4.8,-1.5,28427885.581,0.005187097086214762,7962884392822.4,204077.21695876005,1.7280986717,5480500000.0,0.0015446719987982946,3,5,0
76,-6.4,-4.0,-1.5,39156553.56600001,0.006920564433722165,13287502293882.0,350244.3120989001,2.3051504525,5658000000.0,0.0019327691430647193,3,6,0
77,-6.4,-3.2,-1.5,39582106.848000005,0.0071146053469937996,12270973117098.0,321664.1957170001,2.2144377028999997,5563500000.0,0.0018889160625838244,3,7,0
78,-6.4,-2.4,-1.5,51908114.37599999,0.00911948601124385,15230280999682.0,383826.9254607002,2.7432290806000013,5692000000.0,0.0020568864378114403,3,8,0
79,-6.4,-1.6,-1.5,56409568.3,0.009659999708879183,16176668684120.0,400912.01697530015,2.7729863129999996,5839500000.0,0.00206628455763271,3,9,0
80,-6.4,-0.8,-1.5,58377191.830000006,0.009885224253661841,16180373017500.0,416481.83788000024,3.072567314000001,5905500000.0,0.00204342563745377,3,10,0
81,-6.4,-0.0,-1.5,72495957.44399999,0.012168855634746116,24577918347240.0,620323.0884694998,3.8374078587999993,5957500000.0,0.002496489503752276,3,11,0
82,-6.4,0.8,-1.5,52923994.269999996,0.009144534647084233,15495497983479.6,395692.43567708187,2.738683173400001,5787500000.0,0.0020404831502412336,3,12,0
83,-6.4,1.6,-1.5,51439212.66999999,0.00883455777930442,15206195303130.0,373086.5233320001,2.6461637170000003,5822500000.0,0.0020091947425880867,3,13,0
84,-6.4,2.4,-1.5,45813074.47000001,0.008005080284815658,13130080235300.0,331547.08306900004,2.4632320760000006,5723000000.0,0.0018994645503364318,3,14,0
85,-6.4,3.2,-1.5,39973697.282000005,0.0071502901854932485,10634096905621.0,278481.3835070998,2.241914644300001,5590500000.0,0.00174993091593757,3,15,0
86,-6.4,4.0,-1.5,35548062.93000001,0.006461521935835683,10985583509619.0,249554.97643878992,1.8830094944999993,5501500000.0,0.0018073892622593624,3,16,0
87,-6.4,4.8,-1.5,28044942.596000005,0.005227389113886301,6858499684055.0,169312.05143630007,1.627821939900001,5365000000.0,0.0014644214625046715,3,17,0
88,-6.4,5.6,-1.5,17524692.9,0.003715613887416516,4852258010450.0,115778.31127600002,1.1050482599999993,4716500000.0,0.001401113623439097,3,18,0
89,-6.4,6.4,-1.5,19462660.816999994,0.0041873194528829595,5685304591732.3,144471.42839659998,1.1785371103999995,4648000000.0,0.001538976544354628,3,19,0
90,-6.4,7.2,-1.5,19344418.962,0.003944218363135896,4775887766467.0,125895.02239535,1.2279697041000002,4904500000.0,0.0013367603905669015,3,20,0
91,-6.4,8.0,-1.5,12041089.921999997,0.0028618157865715975,2432038957087.0,56911.45777099001,0.7804574917999999,4207500000.0,0.0011119426555605515,3,21,0
92,-6.4,8.8,-1.5,10462879.030000005,0.002699401194530445,2286135112010.0,54004.89186400003,0.6775744880000001,3876000000.0,0.001170276355655734,3,22,0
93,-5.6,-8.8,-1.5,11918980.11,0.0028647951231823097,2568138314100.0,50171.5990836,0.6871654179999998,4160500000.0,0.0011555398590055114,4,0,0
94,-5.6,-8.0,-1.5,12183768.512999998,0.002835742700570231,2877398799937.0,66223.25507405002,0.6820738564999995,4296500000.0,0.0011844219985698147,4,1,0
95,-5.6,-7.2,-1.5,19804665.210999988,0.0038166631742146827,5216983732049.0,134339.90181289997,1.2741229772999998,5189000000.0,0.001320527111690755,4,2,0
96,-5.6,-6.4,-1.5,20583155.371999998,0.0042161317845145424,5355294476482.4,154206.37006430404,1.3519020015899998,4882000000.0,0.0014220509424665204,4,3,0
97,-5.6,-5.6,-1.5,24107888.029999997,0.004291568852692478,5896912254110.0,154272.9631424001,1.4617401749999996,5617500000.0,0.0012968522581473497,4,4,0
98,-5.6,-4.8,-1.5,38761526.893999994,0.007074562309545536,12780472162370.8,346161.44657713,2.2124321482999996,5479000000.0,0.0019574622663028492,4,5,0
99,-5.6,-4.0,-1.5,37701275.92000001,0.006824995640839973,10501790897918.2,259895.59497118002,2.1065229354999997,5524000000.0,0.0017599456766487658,4,6,0
100,-5.6,-3.2,-1.5,48821679.89,0.00832069533702599,14306711531870.0,392775.1417930001,2.7727476749999993,5867500000.0,0.001933918021844542,4,7,0
101,-5.6,-2.4,-1.5,49130473.75900001,0.008359787946060918,13428449362415.3,324823.50870915997,2.498167916899999,5877000000.0,0.0018705894915535392,4,8,0
102,-5.6,-1.6,-1.5,62609440.459999986,0.010502296479074056,19646127021920.0,439554.5550909999,2.946550707000001,5961500000.0,0.0022305099914737203,4,9,0
103,-5.6,-0.8,-1.5,64351063.617,0.010844466399898887,19732756134119.9,467195.3795965798,3.074515173800001,5934000000.0,0.002245781911001722,4,10,0
104,-5.6,-0.0,-1.5,74507303.19999999,0.012252475448117084,21114327597800.0,523595.842003,3.571470655999999,6081000000.0,0.0022669130870260974,4,11,0
105,-5.6,0.8,-1.5,64236253.91,0.010763447370978552,16983715442700.0,444484.38700000005,3.2165174160000003,5968000000.0,0.0020716137446095658,4,12,0
106,-5.6,1.6,-1.5,64517413.62,0.01071006202191235,20133422040900.0,459496.56114,3.1696086960000005,6024000000.0,0.002234575756985639,4,13,0
107,-5.6,2.4,-1.5,55875603.76000001,0.009396385060119401,14936073787400.0,382856.742723,2.825757684999999,5946500000.0,0.0019497460496377549,4,14,0
108,-5.6,3.2,-1.5,50261655.88000002,0.008722196248156185,14279999880190.0,352292.2143234,2.6232637149999998,5762500000.0,0.001967317302393202,4,15,0
109,-5.6,4.0,-1.5,38246161.029999994,0.006827233314887539,9837546168500.0,240918.1080019999,2.0753066439999985,5602000000.0,0.0016796606046787519,4,16,0
110,-5.6,4.8,-1.5,34300992.51999999,0.006216763483461711,10655115428900.0,253430.07033499988,1.9661107780000004,5517500000.0,0.0017748350142925361,4,17,0
111,-5.6,5.6,-1.5,26423529.889,0.004984631180720619,8586217184443.0,211570.74141291002,1.5600008244999992,5301000000.0,0.0016583048921371716,4,18,0
112,-5.6,6.4,-1.5,23068260.581000008,0.0045929836895968155,7857958434238.0,189593.68124639997,1.3940884297000005,5022500000.0,0.0016743882588562038,4,19,0
113,-5.6,7.2,-1.5,16670178.360000001,0.003595810690250216,4014074354880.0,97327.47340020002,1.0461793560000001,4636000000.0,0.0012964940578584281,4,20,0
114,-5.6,8.0,-1.5,12470355.222000001,0.00289907130582355,2450913014854.0,68048.30554343,0.8324367263000003,4301500000.0,0.0010918557694528162,4,21,0
